No.,Model,Is_latest,Version,icon_en,icon_zh,icon_jp,icon_fr,icon_es,icon_pt-BR,icon_br,icon_de,icon_it,icon_ukr,是否为 status word,icon_desc_en,icon_desc_zh,icon_desc_jp,icon_desc_fr,icon_desc_es,icon_desc_pt-BR,icon_desc_br,icon_desc_de,icon_desc_it,icon_desc_ukr,has_variables,variable_keys,figure,render_preview_en
1,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi,,WLAN,Wi-Fi,Wi-Fi,,"On: Wi-Fi connected.
Blink: Ready to connect to Wi-Fi.
Off: Wi-Fi disconnected.","点亮：Wi-Fi 已连接。 
闪烁：准备连接 Wi-Fi。
熄灭：Wi-Fi 未连接。","オン：Wi-Fiに接続されています。
点滅：Wi-Fi接続の準備中です。
オフ：Wi-Fiは切断されています。","Allumé : Wi-Fi connecté.
Clignotant : Prêt à se connecter au Wi-Fi.
Éteint : Wi-Fi déconnecté.","Encendido: Wi-Fi conectado.
Parpadeo: listo para conectarse al Wi-Fi.
Apagado: Wi-Fi desconectado.","Ligado: Wi-Fi conectado.
Pisca: Pronto para conectar ao Wi-Fi.
Desligado: Wi-Fi desconectado.",,"Ein: WLAN verbunden.
Blinkt: Bereit für die WLAN-Verbindung.
Aus: WLAN getrennt.","Acceso: Wi-Fi connesso.
Lampeggiante: pronto per la connessione Wi-Fi.
Spento: Wi-Fi disconnesso.","Увімкнено: Wi-Fi підключено.
Блимає: Готово до підключення до Wi-Fi.
Вимкнено: Wi-Fi відключено.",FALSE,,data/phase2/_attachments/lcd_icons/1_Wi-Fi_WuAbbIls6okb8pxBe5RcObWUnNd.png,
2,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Bluetooth,Bluetooth,Bluetooth,Bluetooth,Bluetooth,Bluetooth,,Bluetooth,Bluetooth,Bluetooth,,"On: Bluetooth connected.
Blink: Ready to connect to Bluetooth.
Off:  Bluetooth disconnected.","点亮：蓝牙已连接。 
闪烁：准备连接蓝牙。
熄灭：蓝牙未连接。","オン：Bluetoothに接続されています。
点滅：Bluetooth接続の準備中です。
オフ：Bluetoothは切断されています。","Allumé : Bluetooth connecté.
Clignotant : Prêt à se connecter au Bluetooth.
Éteint : Bluetooth déconnecté.","Encendido: Bluetooth conectado.
Parpadeo: listo para conectarse al Bluetooth.
Apagado: Bluetooth desconectado.","Ligado: Bluetooth conectado.
Pisca: Pronto para conectar ao Bluetooth.
Desligado: Bluetooth desconectado.",,"Ein: Bluetooth verbunden.
Blinkt: Bereit für die Bluetooth-Verbindung.
Aus: Bluetooth getrennt.","Acceso: Bluetooth connesso.
Lampeggiante: pronto per la connessione Bluetooth.
Spento: Bluetooth disconnesso","Увімкнено: Bluetooth підключено.
Блимає: Готово до підключення до Bluetooth.
Вимкнено: Bluetooth відключено.",FALSE,,data/phase2/_attachments/lcd_icons/2_Bluetooth_EaovbGeSmoIldpxVoWrcVankn5d.png,
3,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Quiet Charging Mode,静音充电模式,静音充電モード,Mode de Charge Silencieuse,Modo de Carga Silenciosa,Modo de carregamento silencioso,,Leiser Lademodus,Modalità di ricarica silenziosa,Тихий режим заряджання,,"On: The noise during charging is significantly minimized, while the charging power is reduced and the charging speed slows down.
Off: Quiet Charging Mode is disabled.
Enable/disable this feature in the Jackery App. The setting is retained when the device is powered off.","点亮：静音充电模式已开启。
充电功率降低，充电速度变慢，同时显著降低充电时的噪音。
熄灭：静音充电模式未开启/已关闭。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。","オン：充電中のノイズが大幅に低減され、充電電力が低下し、充電速度が低減します。
オフ：静音充電モードが無効になっています。
（Jackeryアプリで有効/無効にできます。電源オフ時も設定は保持されます。）","Allumé : Le bruit pendant la charge est considérablement réduit, tandis que la puissance de charge est diminuée et la vitesse de charge ralentit.
Éteint : Le mode de charge silencieuse est désactivé. Activez/désactivez cette fonction dans l'application Jackery. Le réglage est conservé lorsque l’appareil est mis hors tension.","Encendido: el ruido durante la carga se minimiza significativamente, mientras que la potencia de carga se reduce y la velocidad de carga disminuye.
Apagado: El modo de carga silenciosa está desactivado.
Activar/desactivar esta función en la App Jackery. Cuando el dispositivo se apaga, se retiene la configuración.","Ligado: O ruído durante o carregamento é significativamente reduzido, enquanto a potência de carregamento é reduzida e a velocidade de carregamento diminui.
Desligado: O modo de carregamento silencioso está desativado.
Ative/desative este recurso no aplicativo Jackery. A configuração é mantida quando o dispositivo é desligado.",,"Ein: Das Rauschen beim Laden wird deutlich minimiert, während die Ladeleistung reduziert und die Ladegeschwindigkeit verlangsamt wird.
Aus: Der leise Lademodus ist deaktiviert.
Diese Funktion kann in der Jackery-App aktiviert oder deaktiviert werden.","Acceso: il rumore durante la ricarica è significativamente ridotto, mentre la potenza e la velocità di ricarica diminuiscono.
Spento: la modalità di ricarica silenziosa è disattivata.
Questa funzione può essere attivata o disattivata tramite l'app Jackery.","Увімкнено: Рівень шуму під час заряджання значно зменшується, водночас знижується потужність заряджання і сповільнюється швидкість заряджання.
Вимкнено: Тихий режим заряджання вимкнено.
Увімкніть/вимкніть цю функцію в Jackery App.
Налаштування зберігається після вимкнення пристрою.",FALSE,,data/phase2/_attachments/lcd_icons/3_Quiet_Charging_Mode_IRdmbJVhco57yOx8m0pcdgkXnbe.png,
4,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Charging Plan,充电计划,計画充電モード,Plan de Charge,Plan de Carga,Plano de carregamento,,Ladeplan,Piano di ricarica,План заряджання,,"Customizes the charging time of the {{PRODUCT_NAME}}. Suitable for situations with fluctuating electricity prices, it allows for charging plans based on peak and off-peak electricity times, reducing electricity costs.
Enable/disable this feature in the Jackery App. The setting is retained when the device is powered off.","自定义{{PRODUCT_NAME}}的充电计划，适用于电价有波动的情况，可根据电价峰谷时间段制定充电计划，减少用电成本。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。","{{PRODUCT_NAME}} の充電時間をカスタマイズすることで、電気料金のピーク時間とオフピーク時間に基づいた充電プランを選択。これにより月々の電気料金を削減することができます。
（Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）","Personnalisez le temps de charge du {{PRODUCT_NAME}}. Adapté aux situations avec des tarifs d’électricité variables, il permet d’établir des plans de charge en fonction des heures pleines et creuses, afin de réduire les coûts d’électricité. 
Veuillez configurer cette fonction dans l’application Jackery. Le réglage est conservé lorsque l’appareil est mis hors tension.","Personaliza el tiempo de carga del {{PRODUCT_NAME}}. Adecuado para situaciones con tarifas eléctricas variables, permite establecer planes de carga según las horas pico y valle, reduciendo así los costos de electricidad.
Por favor, configure esta función en la aplicación Jackery. Cuando el dispositivo se apaga, se retiene la configuración.","Personaliza o tempo de carregamento do {{PRODUCT_NAME}}. Adequado para situações com tarifas de eletricidade variáveis, permite definir planos de carregamento com base nos horários de pico e fora de pico, reduzindo os custos de eletricidade.
Ative/desative este recurso no aplicativo Jackery. A configuração é mantida quando o dispositivo é desligado.",,"Ermöglicht die Anpassung der Ladezeiten des {{PRODUCT_NAME}}. Geeignet für Situationen mit schwankenden Strompreisen, ermöglicht Ladepläne auf der Grundlage von Spitzen- und Niedrigstromzeiten und reduziert so die Stromkosten.
Aktivieren oder deaktivieren Sie diese Funktion in der Jackery App. Die Einstellung bleibt auch nach dem Ausschalten des Geräts erhalten.","Personalizza il tempo di ricarica del {{PRODUCT_NAME}}. Adatto a situazioni con prezzi dell’elettricità variabili, consente di impostare piani di ricarica basati sulle fasce orarie di picco e di minor consumo, riducendo i costi dell’elettricità.
Abilita/disabilita questa funzione nell’App Jackery. L’impostazione viene antenuta quando il dispositivo è spento.","Налаштовує час заряджання {{PRODUCT_NAME}}. Підходить для умов із коливаннями цін на електроенергію; дозволяє створювати плани заряджання на основі пікових і непікових періодів, зменшуючи витрати на електроенергію.
Увімкніть/вимкніть цю функцію в Jackery App. Налаштування зберігається після вимкнення пристрою.",TRUE,PRODUCT_NAME,data/phase2/_attachments/lcd_icons/4_Charging_Plan_PBCtblGMaoHz4fx08tRcoXUJnIf.png,
5,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Self-powered Mode,自发自用模式,自家発電モード,Mode Autonome,Modo Autónomo,Modo de autoalimentação,,Selbstversorgungsmodus,Modalità autoalimentata,Автономний режим,,"Maximizes the use of solar energy and reduces reliance on grid electricity by prioritizing stored solar energy, reducing electricity costs. The power station must be connected to both solar panels and the grid simultaneously, with the load power limited by bypass power.
Enable/disable this feature in the Jackery App. The setting is retained when the device is powered off.","点亮：自发自用模式已开启，最大化利用太阳能，减少电网电力消耗，减少用电成本。 
熄灭：自发自用模式未开启/已关闭。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。","点灯時：自家発電モードがオンになっており、太陽光エネルギーの利用を最大化し、電力会社からの電力消費を削減して電気代を節約します。
消灯時：自家発電モードがオフ、または未設定の状態です。
（Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）","Maximise l’utilisation de l’énergie solaire et réduit la dépendance à l’électricité du réseau en donnant la priorité à l’énergie solaire stockée, ce qui diminue les coûts d’électricité. La station d’énergie doit être connectée simultanément aux panneaux solaires et au réseau, la puissance de charge étant limitée par la puissance de dérivation.
Veuillez activer/désactiver cette fonction dans l’application. Le réglage est conservé lorsque l’appareil est mis hors tension.","Maximiza el uso de la energía solar y reduce la dependencia de la electricidad de la red al priorizar la energía solar almacenada, reduciendo los costos eléctricos. La estación de energía debe estar conectada simultáneamente a los paneles solares y a la red, con la potencia de carga limitada por la potencia de derivación.
Por favor, active/desactive esta función en la aplicación. Cuando el dispositivo se apaga, se retiene la configuración.","Maximiza o uso da energia solar e reduz a dependência da rede elétrica ao priorizar a energia solar armazenada, reduzindo os custos de eletricidade. A estação de energia deve estar conectada simultaneamente aos painéis solares e à rede elétrica, com a potência da carga limitada pela potência de bypass.
Ative/desative este recurso no aplicativo Jackery. A configuração é mantida quando o dispositivo é desligado.",,"Maximiert die Nutzung von Solarenergie und reduziert die Abhängigkeit vom Netzstrom, indem die Speicherung der Solarenergie priorisiert wird und so Stromkosten gesenkt werden. Die Powerstation muss gleichzeitig mit Solarmodulen und dem Stromnetz verbunden sein; die Lastleistung ist dabei durch die Bypass-Leistung begrenzt.
Aktivieren oder deaktivieren Sie diese Funktion in der Jackery App. Die Einstellung bleibt auch nach dem Ausschalten des Geräts erhalten.","Massimizza l’uso dell’energia solare e riduce la dipendenza dalla rete elettrica dando priorità all’energia solare immagazzinata, riducendo i costi dell’elettricità. La centrale elettrica deve essere collegata contemporaneamente sia ai pannelli solari che alla rete elettrica, con la potenza di carico limitata dalla potenza di bypass.
Abilita/disabilita questa funzione nell’App Jackery. L’impostazione viene mantenuta quando il dispositivo è spento.","Максимізує використання сонячної енергії та зменшує залежність від електромережі, віддаючи пріоритет накопиченій сонячній енергії, що знижує витрати на електроенергію. Електростанцію необхідно одночасно підключити до сонячних панелей і електромережі, при цьому потужність навантаження обмежується байпасною потужністю.
Увімкніть/вимкніть цю функцію в Jackery App. Налаштування зберігається після вимкнення пристрою.",FALSE,,data/phase2/_attachments/lcd_icons/5_Self-powered_Mode_VLkXbWOFpoMJYsxWp0xcXkkpn1g.png,
6,"JE-1000F, JE-2000E, JE-2000F",TRUE,V1.0,TOU Mode,TOU模式,TOUモード,Mode TOU,Modo TOU,Modo TOU,,Tarifzeitmodus (TOU-Modus),Modalità TOU,Режим TOU,,"On: TOU mode is enabled (default backup SOC: 60%). During peak periods, the product prioritizes discharging the battery to reduce peak electricity costs when the stored energy exceeds the backup SOC. During off peak periods, the product charges the battery from the grid to achieve peak shaving and valley filling.
Off: TOU mode is disabled. The product does not follow the TOU (time of use) strategy and operates according to the default power supply and charging logic.
Enable/disable this feature in the Jackery App. The setting is retained when the device is powered off.","点亮：TOU模式开启（默认60%备电电量）。高峰时段，当储能电量高于备电电量时，优先使用储能供电，减少高峰用电成本；谷价时段，利用市电对储能进行充电，实现 削峰填谷 的电价优化策略。
熄灭：TOU模式关闭。设备不执行 TOU（分时电价）策略，按照默认供电与充电逻辑运行。
（请在 APP 中开启/关闭该功能，关机可记忆保存）。","オン：TOUモードが有効です（デフォルトバックアップSOC：60%）。 ピーク時間帯に、蓄積エネルギーがバックアップSOCを上回ると、本製品はバッテリーの放電を優先し、ピーク時の電力コストを削減します。 オフピーク時間帯には、系統からバッテリーを充電し、ピークカットと谷埋めを実現します。
オフ：TOUモードは無効になります。 本デバイスはTOU（時間帯別料金）戦略に従わず、デフォルトの電力供給および充電ロジックに基づいて動作します。
（Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）","Activé : Le mode TOU est activé (SOC de secours par défaut : 60 %). Pendant les heures de pointe, le produit privilégie la décharge de la batterie afin de réduire les coûts liés à la consommation en période de pointe, lorsque l’énergie stockée dépasse le SOC de réserve. Pendant les heures creuses, le système recharge la batterie à partir du réseau afin de réaliser l’écrêtage des pics et le remplissage des creux.
Désactivé : Le mode TOU est désactivé. L’appareil ne suit pas la stratégie TOU (heures pleines / heures creuses) et fonctionne selon la logique d’alimentation et de charge par défaut.
Veuillez activer/désactiver cette fonction dans l’application. Le réglage est conservé lorsque l’appareil est mis hors tension.","Activado: el modo TOU está habilitado (SOC de respaldo predeterminado: 60 %). Durante las horas pico, el producto prioriza la descarga de la batería para reducir los costos de  la electricidad en momentos de alta demanda, cuando la energía almacenada supera el SOC de respaldo. Durante las horas valle, el sistema carga la batería desde la red para lograr recortar los picos y llenar los valles.
Desactivado: el modo TOU está deshabilitado. El dispositivo no sigue la estrategia TOU (tarifa por periodo de uso) y opera según la lógica predeterminada de suministro de energía y carga.
Por favor, active/desactive esta función en la aplicación. Cuando el dispositivo se apaga, se retiene la configuración.","Ligado: O modo TOU está ativado (SOC de reserva padrão: 60%). Durante os períodos de pico, o produto prioriza a descarga da bateria para reduzir os custos de eletricidade nos horários de pico quando a energia armazenada excede o SOC de reserva. Durante os períodos fora de pico, o produto carrega a bateria a partir da rede para realizar o corte de pico e o preenchimento de vale.
Desligado: O modo TOU está desativado. O produto não segue a estratégia TOU (time of use) e opera de acordo com a lógica padrão de alimentação e carregamento.
Ative/desative este recurso no aplicativo Jackery. A configuração é mantida quando o dispositivo é desligado.",,"Ein: Der Tarifzeitmodus (TOU-Modus) ist aktiviert (Standard-Backup-SOC: 60 %). Während der Spitzenlastzeiten entlädt das Produkt die Batterie priorisiert, um die Stromkosten zu senken, sofern die gespeicherte Energie den Backup-SOC überschreitet. Während der Niedriglastzeiten lädt das Produkt die Batterie aus dem Netz, um Spitzenlasten zu reduzieren und Lasttäler auszugleichen.
Aus: Der Tarifzeitmodus (TOU-Modus) ist deaktiviert. Das Produkt folgt keiner Tarifzeitmodus(TOU-Modus)-Strategie und arbeitet gemäß der standardmäßigen Stromversorgungs- und Ladelogik.
Aktivieren oder deaktivieren Sie diese Funktion in der Jackery App. Die Einstellung bleibt auch nach dem Ausschalten des Geräts erhalten.","On: La modalità TOU è abilitata (SOC di backup predefinito: 60%). Durante i periodi di picco, il prodotto dà priorità alla scarica della batteria per ridurre i costi dell’elettricità quando l’energia immagazzinata supera lo stato di carica (SOC) di backup. Durante i periodi di minor consumo, il prodotto ricarica la batteria dalla rete elettrica per ridurre i picchi di consumo e compensare i cali di domanda.
Off: La modalità TOU è disabilitata. Il prodotto non segue la strategia TOU (time of use) e funziona secondo la logica predefinita di alimentazione e ricarica.
Abilita/disabilita questa funzione nell’App Jackery. L’impostazione viene mantenuta quando il dispositivo è spento.","Увімкнено: Режим TOU увімкнено (стандартний резервний SOC: 60%). У пікові періоди продукт надає пріоритет розряджанню батареї для зменшення витрат на електроенергію, коли накопичена енергія перевищує резервний SOC. У непікові періоди продукт заряджає батарею від електромережі для зрізання піків і заповнення провалів.
Вимкнено: Режим TOU вимкнено. Продукт не дотримується стратегії TOU (time of use) і працює за стандартною логікою живлення та заряджання.
Увімкніть/вимкніть цю функцію в Jackery App. Налаштування зберігається після вимкнення пристрою.",FALSE,,data/phase2/_attachments/lcd_icons/6_TOU_Mode_BLMAblms7oeDxUxsFb9cgzXvnId.png,
7,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,UPS,UPS,UPS機能,UPS (ASI),UPS,UPS,,USV,UPS,UPS,,"On: The product is operating in bypass mode. Loads connected to the AC ports consume power from the grid instead of the power station. If the grid suddenly fails, the product automatically switches to its battery power within 10 ms.
Off: The product is not in bypass mode. Loads connected to the AC ports are powered by the internal battery of the power station.","点亮：设备处于同充同放状态，此时市电切换至储能电池供电的时间为 10 ms。 
熄灭：设备未处于同充同放状态。","点灯時：製品が給電と充電を同時に行う「パススルー充電」状態にあります。停電時には家庭用電源からポータブル電源の切り替え時間が10ミリ秒で行われます。
消灯時：製品がパススルー充電状態ではありません。","Allumé : Le produit fonctionne en mode bypass. Les charges connectées aux ports CA sont alimentées par le réseau électrique au lieu de la station d’énergie.
En cas de coupure soudaine du réseau, le produit bascule automatiquement sur son alimentation par batterie en 10 ms.
Éteint : Le produit n’est pas en mode bypass. Les charges connectées aux ports CA sont alimentées par la batterie interne de la station d’énergie.","Encendido: El producto está funcionando en modo bypass. Las cargas conectadas a los puertos de CA consumen energía de la red eléctrica en lugar de la estación de energía.
Si la red eléctrica falla repentinamente, el producto cambia automáticamente a la alimentación de la batería en 10 ms.
Apagado: El producto no está en modo bypass. Las cargas conectadas a los puertos de CA son alimentadas por la batería interna de la estación de energía.","Ligado: O produto está operando no modo bypass. As cargas conectadas às portas CA consomem energia da rede elétrica em vez da estação de energia. Se a rede elétrica falhar repentinamente, o produto alterna automaticamente para a alimentação da bateria em até 10 ms.
Desligado: O produto não está no modo bypass. As cargas conectadas às portas CA são alimentadas pela bateria interna da estação de energia.",,"Ein: Das Produkt arbeitet im Bypass-Modus. An die AC-Anschlüsse angeschlossene Lasten werden über das Stromnetz statt über die Powerstation versorgt. Bei einem plötzlichen Netzausfall schaltet das Produkt innerhalb von 10 ms automatisch auf Batteriebetrieb um.
Aus: Das Produkt befindet sich nicht im Bypass-Modus. An die AC-Anschlüsse angeschlossene Lasten werden über die interne Batterie der Powerstation versorgt.","On: Il prodotto è in funzione in modalità bypass. I carichi collegati alle porte CA vengono alimentati dalla rete elettrica anziché dalla power station. In caso di improvvisa interruzione della rete elettrica, il prodotto passa automaticamente all'alimentazione a batteria entro 10 ms.
Off: Il prodotto non è in modalità bypass. I carichi collegati alle porte CA vengono alimentati dalla batteria interna della power station.","Увімкнено: У режимі байпасу навантаження, підключені до портів змінного струму, живляться від електромережі, а не від електростанції. У разі раптового збою електромережі продукт автоматично перемикається на живлення від батареї протягом 10 мс.
Вимкнено: Продукт не перебуває в режимі байпасу. Навантаження, підключені до портів змінного струму, живляться від внутрішньої батареї електростанції.",FALSE,,data/phase2/_attachments/lcd_icons/7_UPS_JMnybDJHdoLbjExEMbGcfAkznQh.png,
8,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,AC Power Indicator,交流输出符号,"交流電源による出力マーク
（正弦波)",Indicateur d'alimentation CA,Indicador de Energía de CA,Indicador de energia CA,,AC-Stromanzeige,"Indicatore di
alimentazione CA",Індикатор живлення змінного струму,,The AC output (pure sine wave) is on.,AC输出（纯正弦波）已开启。,AC出力（純正弦波）がオンになっています。,La sortie CA (onde sinusoïdale pure) est activée.,La salida CA (onda sinusoidal pura) está activada.,A saída CA (onda senoidal pura) está ligada.,,Der AC-Ausgang (reine Sinuswelle) ist eingeschaltet.,L’uscita AC (onda sinusoidale pura) è attiva.,Вихід змінного струму (чиста синусоїда) увімкнено.,FALSE,,data/phase2/_attachments/lcd_icons/8_AC_Power_Indicator_IqesbVEWTo0ANfxDkoDcLP6jnSc.png,
9,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Output Voltage and Frequency,输出电压和频率,出力電圧と周波数,Tension et fréquence de sortie,Voltaje y frecuencia de salida,Tensão e frequência de saída,,Ausgangsspannung und -frequenz,Tensione e frequenza di uscita,Вихідна напруга та частота,,Displays the output voltage and frequency when the AC output is turned on.,显示AC输出口的输出电压和频率。,出力される電圧と周波数を表示します。,Affiche la tension et la fréquence de sortie lorsque la sortie CA est activée.,Muestra el voltaje y la frecuencia de salida cuando la salida de CA está encendida.,Exibe a tensão e a frequência de saída quando a saída CA está ligada.,,"Zeigt die Ausgangsspannung und -frequenz an, wenn der AC-Ausgang eingeschaltet ist.",Visualizza la tensione e la frequenza di uscita.,"Відображає вихідну напругу та частоту, коли вихід змінного струму увімкнено.",FALSE,,data/phase2/_attachments/lcd_icons/9_Output_Voltage_and_Frequency_XtL4bA80pogLmOx7VJ3ca5fEnl8.png,
10,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Input Power,充电功率显示,入力電力表示,Puissance d’Entrée,Potencia de Entrada,Potência de entrada,,Eingangsleistung,Potenza in ingresso,Вхідна потужність,,Displays the input power in watts.,显示当前充电功率。,入力電力をワットで表示します。,Affiche la puissance d'entrée en watts.,Muestra la potencia de entrada en vatios.,Exibe a potência de entrada em watts.,,Zeigt die Eingangsleistung in Watt an.,Visualizza la potenza di ingresso in watt.,Відображає вхідну потужність у ватах.,FALSE,,data/phase2/_attachments/lcd_icons/10_Input_Power_BiBvbNteAoNsHqxoMICc11cjnHc.png,
11,"JE-1000F, JE-2000E, JE-2000F, JE-1500D",TRUE,V1.0,Remaining Charge Time,剩余充电时间,充電残り時間,Temps de Charge Restant,Tiempo de Carga Restante,Tempo de carregamento restante,,Verbleibende Aufladezeit,Tempo di carica rimanente,"Час, що залишився до повного
заряджання",,Displays the remaining charging time.,显示剩余充电时间。,充電残り時間を表示します。,Affiche le temps de charge restant.,Muestra el tiempo de carga restante.,Exibe o tempo de carregamento restante.,,Anzeige der verbleibenden Ladezeit.,Visualizza il tempo residuo di carica.,Відображає залишковий час заряджання.,FALSE,,data/phase2/_attachments/lcd_icons/11_Remaining_Charge_Time_VeBobGZMDoYpBuxLRcFcti9cnlc.png,
