line,model,region,row_key,column,old_value,new_value
213,JE-3600A,EU,tpl_power_button_label,Section,TEMPLATE VARS,CONTROLS
213,JE-3600A,EU,tpl_power_button_label,Section_order,99,7
213,JE-3600A,EU,tpl_power_button_label,Row_label_en,POWER Button,Power Button
214,JE-3600A,EU,tpl_usb_power_button_label,Section,TEMPLATE VARS,CONTROLS
214,JE-3600A,EU,tpl_usb_power_button_label,Section_order,99,7
215,JE-3600A,EU,tpl_ac_power_button_label,Section,TEMPLATE VARS,CONTROLS
215,JE-3600A,EU,tpl_ac_power_button_label,Section_order,99,7
216,JE-3600A,EU,tpl_battery_pack_name,Section,TEMPLATE VARS,ACCESSORIES
216,JE-3600A,EU,tpl_battery_pack_name,Section_order,99,9
261,JE-2000F,US,tpl_main_power_button_label,Section,TEMPLATE VARS,CONTROLS
261,JE-2000F,US,tpl_main_power_button_label,Section_order,99,7
261,JE-2000F,US,tpl_main_power_button_label,Row_label_en,Main Power Button Label,Main Power Button
262,JE-2000F,US,tpl_dc_usb_power_button_label,Section,TEMPLATE VARS,CONTROLS
262,JE-2000F,US,tpl_dc_usb_power_button_label,Section_order,99,7
262,JE-2000F,US,tpl_dc_usb_power_button_label,Row_label_en,DC USB Power Button Label,DC/USB Power Button
263,JE-2000F,US,tpl_ac_power_button_label,Section,TEMPLATE VARS,CONTROLS
263,JE-2000F,US,tpl_ac_power_button_label,Section_order,99,7
263,JE-2000F,US,tpl_ac_power_button_label,Row_label_en,AC Power Button Label,AC Power Button
264,JE-2000F,US,tpl_front_dc12_port_label,Section,TEMPLATE VARS,OUTPUT PORTS
264,JE-2000F,US,tpl_front_dc12_port_label,Section_order,99,3
264,JE-2000F,US,tpl_front_dc12_port_label,Row_label_en,Front DC12 Port Label,DC 12V Port
265,JE-2000F,US,tpl_front_dc12_port_spec,Section,TEMPLATE VARS,OUTPUT PORTS
265,JE-2000F,US,tpl_front_dc12_port_spec,Section_order,99,3
265,JE-2000F,US,tpl_front_dc12_port_spec,Row_label_en,Front DC12 Port Spec,DC 12V Port
266,JE-2000F,US,tpl_front_usb_c_low_label,Section,TEMPLATE VARS,OUTPUT PORTS
266,JE-2000F,US,tpl_front_usb_c_low_label,Section_order,99,3
266,JE-2000F,US,tpl_front_usb_c_low_label,Row_label_en,Front USB-C Low Label,USB-C 30W Output
267,JE-2000F,US,tpl_front_usb_c_low_spec,Section,TEMPLATE VARS,OUTPUT PORTS
267,JE-2000F,US,tpl_front_usb_c_low_spec,Section_order,99,3
267,JE-2000F,US,tpl_front_usb_c_low_spec,Row_label_en,Front USB-C Low Spec,USB-C 30W Output
268,JE-2000F,US,tpl_front_usb_c_high_label,Section,TEMPLATE VARS,OUTPUT PORTS
268,JE-2000F,US,tpl_front_usb_c_high_label,Section_order,99,3
268,JE-2000F,US,tpl_front_usb_c_high_label,Row_label_en,Front USB-C High Label,USB-C 100W Output
269,JE-2000F,US,tpl_front_usb_c_high_spec,Section,TEMPLATE VARS,OUTPUT PORTS
269,JE-2000F,US,tpl_front_usb_c_high_spec,Section_order,99,3
269,JE-2000F,US,tpl_front_usb_c_high_spec,Row_label_en,Front USB-C High Spec,USB-C 100W Output
270,JE-2000F,US,tpl_front_usb_a_label,Section,TEMPLATE VARS,OUTPUT PORTS
270,JE-2000F,US,tpl_front_usb_a_label,Section_order,99,3
270,JE-2000F,US,tpl_front_usb_a_label,Row_label_en,Front USB-A Label,USB-A 18W Output
271,JE-2000F,US,tpl_front_usb_a_spec,Section,TEMPLATE VARS,OUTPUT PORTS
271,JE-2000F,US,tpl_front_usb_a_spec,Section_order,99,3
271,JE-2000F,US,tpl_front_usb_a_spec,Row_label_en,Front USB-A Spec,USB-A 18W Output
272,JE-2000F,US,tpl_front_ac_output_label,Section,TEMPLATE VARS,OUTPUT PORTS
272,JE-2000F,US,tpl_front_ac_output_label,Section_order,99,3
272,JE-2000F,US,tpl_front_ac_output_label,Row_label_en,Front AC Output Label,AC Output
273,JE-2000F,US,tpl_front_ac_output_spec,Section,TEMPLATE VARS,OUTPUT PORTS
273,JE-2000F,US,tpl_front_ac_output_spec,Section_order,99,3
273,JE-2000F,US,tpl_front_ac_output_spec,Row_label_en,Front AC Output Spec,AC Output
274,JE-2000F,US,tpl_front_total_output_label,Section,TEMPLATE VARS,OUTPUT PORTS
274,JE-2000F,US,tpl_front_total_output_label,Section_order,99,3
274,JE-2000F,US,tpl_front_total_output_label,Row_label_en,Front Total Output Label,Total Output
275,JE-2000F,US,tpl_front_total_output_spec,Section,TEMPLATE VARS,OUTPUT PORTS
275,JE-2000F,US,tpl_front_total_output_spec,Section_order,99,3
275,JE-2000F,US,tpl_front_total_output_spec,Row_label_en,Front Total Output Spec,Total Output
276,JE-2000F,US,tpl_side_dc_input_label,Section,TEMPLATE VARS,INPUT PORTS
276,JE-2000F,US,tpl_side_dc_input_label,Section_order,99,2
276,JE-2000F,US,tpl_side_dc_input_label,Row_label_en,Side DC Input Label,DC Input (2 x DC8020 Ports)
277,JE-2000F,US,tpl_side_dc_input_pv_spec,Section,TEMPLATE VARS,INPUT PORTS
277,JE-2000F,US,tpl_side_dc_input_pv_spec,Section_order,99,2
277,JE-2000F,US,tpl_side_dc_input_pv_spec,Row_label_en,Side DC Input PV Spec,PV Input
278,JE-2000F,US,tpl_side_dc_input_car_spec,Section,TEMPLATE VARS,INPUT PORTS
278,JE-2000F,US,tpl_side_dc_input_car_spec,Section_order,99,2
278,JE-2000F,US,tpl_side_dc_input_car_spec,Row_label_en,Side DC Input Car Spec,Car Input
279,JE-2000F,US,tpl_side_ac_input_label,Section,TEMPLATE VARS,INPUT PORTS
279,JE-2000F,US,tpl_side_ac_input_label,Section_order,99,2
279,JE-2000F,US,tpl_side_ac_input_label,Row_label_en,Side AC Input Label,AC Input
280,JE-2000F,US,tpl_side_ac_input_spec,Section,TEMPLATE VARS,INPUT PORTS
280,JE-2000F,US,tpl_side_ac_input_spec,Section_order,99,2
280,JE-2000F,US,tpl_side_ac_input_spec,Row_label_en,Side AC Input Spec,AC Input
281,JE-2000F,US,tpl_default_standby_duration,Section,TEMPLATE VARS,SETTINGS
281,JE-2000F,US,tpl_default_standby_duration,Section_order,99,8
282,JE-2000F,US,tpl_energy_saving_auto_off_duration,Section,TEMPLATE VARS,SETTINGS
282,JE-2000F,US,tpl_energy_saving_auto_off_duration,Section_order,99,8
283,JE-2000F,US,tpl_energy_saving_ac_threshold,Section,TEMPLATE VARS,SETTINGS
283,JE-2000F,US,tpl_energy_saving_ac_threshold,Section_order,99,8
284,JE-2000F,US,tpl_energy_saving_dc_threshold,Section,TEMPLATE VARS,SETTINGS
284,JE-2000F,US,tpl_energy_saving_dc_threshold,Section_order,99,8
285,JE-2000F,US,tpl_usb_c_high_power_port_label,Section,TEMPLATE VARS,OUTPUT PORTS
285,JE-2000F,US,tpl_usb_c_high_power_port_label,Section_order,99,3
285,JE-2000F,US,tpl_usb_c_high_power_port_label,Row_label_en,USB-C High Power Port Label,USB-C 100W Port
286,JE-2000F,US,tpl_usb_c_high_power_cable_name,Section,TEMPLATE VARS,ACCESSORIES
286,JE-2000F,US,tpl_usb_c_high_power_cable_name,Section_order,99,9
286,JE-2000F,US,tpl_usb_c_high_power_cable_name,Row_label_en,USB-C High Power Cable Name,USB-C High Power Cable
287,JE-2000F,US,tpl_car_battery_charging_cable_name,Section,TEMPLATE VARS,ACCESSORIES
287,JE-2000F,US,tpl_car_battery_charging_cable_name,Section_order,99,9
287,JE-2000F,US,tpl_car_battery_charging_cable_name,Row_label_en,Car Battery Charging Cable Name,Car Battery Charging Cable
288,JE-2000F,US,tpl_ups_bypass_output_text,Section,TEMPLATE VARS,OUTPUT PORTS
288,JE-2000F,US,tpl_ups_bypass_output_text,Section_order,99,3
288,JE-2000F,US,tpl_ups_bypass_output_text,Row_label_en,UPS Bypass Output Text,UPS Bypass Output
289,JE-2000F,JP,tpl_main_power_button_label,Section,TEMPLATE VARS,CONTROLS
289,JE-2000F,JP,tpl_main_power_button_label,Section_order,99,7
289,JE-2000F,JP,tpl_main_power_button_label,Row_label_en,Main Power Button Label,Main Power Button
290,JE-2000F,JP,tpl_dc_usb_power_button_label,Section,TEMPLATE VARS,CONTROLS
290,JE-2000F,JP,tpl_dc_usb_power_button_label,Section_order,99,7
290,JE-2000F,JP,tpl_dc_usb_power_button_label,Row_label_en,DC USB Power Button Label,DC/USB Power Button
291,JE-2000F,JP,tpl_ac_power_button_label,Section,TEMPLATE VARS,CONTROLS
291,JE-2000F,JP,tpl_ac_power_button_label,Section_order,99,7
291,JE-2000F,JP,tpl_ac_power_button_label,Row_label_en,AC Power Button Label,AC Power Button
292,JE-2000F,JP,tpl_front_dc12_port_label,Section,TEMPLATE VARS,OUTPUT PORTS
292,JE-2000F,JP,tpl_front_dc12_port_label,Section_order,99,3
292,JE-2000F,JP,tpl_front_dc12_port_label,Row_label_en,Front DC12 Port Label,DC 12V Port
293,JE-2000F,JP,tpl_front_dc12_port_spec,Section,TEMPLATE VARS,OUTPUT PORTS
293,JE-2000F,JP,tpl_front_dc12_port_spec,Section_order,99,3
293,JE-2000F,JP,tpl_front_dc12_port_spec,Row_label_en,Front DC12 Port Spec,DC 12V Port
294,JE-2000F,JP,tpl_front_usb_c_low_label,Section,TEMPLATE VARS,OUTPUT PORTS
294,JE-2000F,JP,tpl_front_usb_c_low_label,Section_order,99,3
294,JE-2000F,JP,tpl_front_usb_c_low_label,Row_label_en,Front USB-C Low Label,USB-C 30W Output
295,JE-2000F,JP,tpl_front_usb_c_low_spec,Section,TEMPLATE VARS,OUTPUT PORTS
295,JE-2000F,JP,tpl_front_usb_c_low_spec,Section_order,99,3
295,JE-2000F,JP,tpl_front_usb_c_low_spec,Row_label_en,Front USB-C Low Spec,USB-C 30W Output
296,JE-2000F,JP,tpl_front_usb_c_high_label,Section,TEMPLATE VARS,OUTPUT PORTS
296,JE-2000F,JP,tpl_front_usb_c_high_label,Section_order,99,3
296,JE-2000F,JP,tpl_front_usb_c_high_label,Row_label_en,Front USB-C High Label,USB-C 100W Output
297,JE-2000F,JP,tpl_front_usb_c_high_spec,Section,TEMPLATE VARS,OUTPUT PORTS
297,JE-2000F,JP,tpl_front_usb_c_high_spec,Section_order,99,3
297,JE-2000F,JP,tpl_front_usb_c_high_spec,Row_label_en,Front USB-C High Spec,USB-C 100W Output
298,JE-2000F,JP,tpl_front_usb_a_label,Section,TEMPLATE VARS,OUTPUT PORTS
298,JE-2000F,JP,tpl_front_usb_a_label,Section_order,99,3
298,JE-2000F,JP,tpl_front_usb_a_label,Row_label_en,Front USB-A Label,USB-A 18W Output
299,JE-2000F,JP,tpl_front_usb_a_spec,Section,TEMPLATE VARS,OUTPUT PORTS
299,JE-2000F,JP,tpl_front_usb_a_spec,Section_order,99,3
299,JE-2000F,JP,tpl_front_usb_a_spec,Row_label_en,Front USB-A Spec,USB-A 18W Output
300,JE-2000F,JP,tpl_front_ac_output_label,Section,TEMPLATE VARS,OUTPUT PORTS
300,JE-2000F,JP,tpl_front_ac_output_label,Section_order,99,3
300,JE-2000F,JP,tpl_front_ac_output_label,Row_label_en,Front AC Output Label,AC Output
301,JE-2000F,JP,tpl_front_ac_output_spec,Section,TEMPLATE VARS,OUTPUT PORTS
301,JE-2000F,JP,tpl_front_ac_output_spec,Section_order,99,3
301,JE-2000F,JP,tpl_front_ac_output_spec,Row_label_en,Front AC Output Spec,AC Output
302,JE-2000F,JP,tpl_side_dc_input_label,Section,TEMPLATE VARS,INPUT PORTS
302,JE-2000F,JP,tpl_side_dc_input_label,Section_order,99,2
302,JE-2000F,JP,tpl_side_dc_input_label,Row_label_en,Side DC Input Label,DC Input (2 x DC8020 Ports)
303,JE-2000F,JP,tpl_side_dc_input_pv_spec,Section,TEMPLATE VARS,INPUT PORTS
303,JE-2000F,JP,tpl_side_dc_input_pv_spec,Section_order,99,2
303,JE-2000F,JP,tpl_side_dc_input_pv_spec,Row_label_en,Side DC Input PV Spec,PV Input
304,JE-2000F,JP,tpl_side_dc_input_car_spec,Section,TEMPLATE VARS,INPUT PORTS
304,JE-2000F,JP,tpl_side_dc_input_car_spec,Section_order,99,2
304,JE-2000F,JP,tpl_side_dc_input_car_spec,Row_label_en,Side DC Input Car Spec,Car Input
305,JE-2000F,JP,tpl_side_ac_input_label,Section,TEMPLATE VARS,INPUT PORTS
305,JE-2000F,JP,tpl_side_ac_input_label,Section_order,99,2
305,JE-2000F,JP,tpl_side_ac_input_label,Row_label_en,Side AC Input Label,AC Input
306,JE-2000F,JP,tpl_side_ac_input_spec,Section,TEMPLATE VARS,INPUT PORTS
306,JE-2000F,JP,tpl_side_ac_input_spec,Section_order,99,2
306,JE-2000F,JP,tpl_side_ac_input_spec,Row_label_en,Side AC Input Spec,AC Input
307,JE-2000F,JP,tpl_default_standby_duration,Section,TEMPLATE VARS,SETTINGS
307,JE-2000F,JP,tpl_default_standby_duration,Section_order,99,8
308,JE-2000F,JP,tpl_energy_saving_auto_off_duration,Section,TEMPLATE VARS,SETTINGS
308,JE-2000F,JP,tpl_energy_saving_auto_off_duration,Section_order,99,8
309,JE-2000F,JP,tpl_energy_saving_ac_threshold,Section,TEMPLATE VARS,SETTINGS
309,JE-2000F,JP,tpl_energy_saving_ac_threshold,Section_order,99,8
310,JE-2000F,JP,tpl_energy_saving_dc_threshold,Section,TEMPLATE VARS,SETTINGS
310,JE-2000F,JP,tpl_energy_saving_dc_threshold,Section_order,99,8
311,JE-2000F,JP,tpl_usb_c_high_power_port_label,Section,TEMPLATE VARS,OUTPUT PORTS
311,JE-2000F,JP,tpl_usb_c_high_power_port_label,Section_order,99,3
311,JE-2000F,JP,tpl_usb_c_high_power_port_label,Row_label_en,USB-C High Power Port Label,USB-C 100W Port
312,JE-2000F,JP,tpl_usb_c_high_power_cable_name,Section,TEMPLATE VARS,ACCESSORIES
312,JE-2000F,JP,tpl_usb_c_high_power_cable_name,Section_order,99,9
312,JE-2000F,JP,tpl_usb_c_high_power_cable_name,Row_label_en,USB-C High Power Cable Name,USB-C High Power Cable
313,JE-2000F,JP,tpl_car_battery_charging_cable_name,Section,TEMPLATE VARS,ACCESSORIES
313,JE-2000F,JP,tpl_car_battery_charging_cable_name,Section_order,99,9
313,JE-2000F,JP,tpl_car_battery_charging_cable_name,Row_label_en,Car Battery Charging Cable Name,Car Battery Charging Cable
314,JE-2000F,JP,tpl_ups_bypass_output_text,Section,TEMPLATE VARS,OUTPUT PORTS
314,JE-2000F,JP,tpl_ups_bypass_output_text,Section_order,99,3
314,JE-2000F,JP,tpl_ups_bypass_output_text,Row_label_en,UPS Bypass Output Text,UPS Bypass Output
315,JE-2000E,JP,tpl_main_power_button_label,Section,TEMPLATE VARS,CONTROLS
315,JE-2000E,JP,tpl_main_power_button_label,Section_order,99,7
315,JE-2000E,JP,tpl_main_power_button_label,Row_label_en,Main Power Button Label,Main Power Button
316,JE-2000E,JP,tpl_dc_usb_power_button_label,Section,TEMPLATE VARS,CONTROLS
316,JE-2000E,JP,tpl_dc_usb_power_button_label,Section_order,99,7
316,JE-2000E,JP,tpl_dc_usb_power_button_label,Row_label_en,DC USB Power Button Label,DC/USB Power Button
317,JE-2000E,JP,tpl_ac_power_button_label,Section,TEMPLATE VARS,CONTROLS
317,JE-2000E,JP,tpl_ac_power_button_label,Section_order,99,7
317,JE-2000E,JP,tpl_ac_power_button_label,Row_label_en,AC Power Button Label,AC Power Button
318,JE-2000E,JP,tpl_front_dc12_port_label,Section,TEMPLATE VARS,OUTPUT PORTS
318,JE-2000E,JP,tpl_front_dc12_port_label,Section_order,99,3
318,JE-2000E,JP,tpl_front_dc12_port_label,Row_label_en,Front DC12 Port Label,DC 12V Port
319,JE-2000E,JP,tpl_front_dc12_port_spec,Section,TEMPLATE VARS,OUTPUT PORTS
319,JE-2000E,JP,tpl_front_dc12_port_spec,Section_order,99,3
319,JE-2000E,JP,tpl_front_dc12_port_spec,Row_label_en,Front DC12 Port Spec,DC 12V Port
320,JE-2000E,JP,tpl_front_usb_c_low_label,Section,TEMPLATE VARS,OUTPUT PORTS
320,JE-2000E,JP,tpl_front_usb_c_low_label,Section_order,99,3
320,JE-2000E,JP,tpl_front_usb_c_low_label,Row_label_en,Front USB-C Low Label,USB-C 30W Output
321,JE-2000E,JP,tpl_front_usb_c_low_spec,Section,TEMPLATE VARS,OUTPUT PORTS
321,JE-2000E,JP,tpl_front_usb_c_low_spec,Section_order,99,3
321,JE-2000E,JP,tpl_front_usb_c_low_spec,Row_label_en,Front USB-C Low Spec,USB-C 30W Output
322,JE-2000E,JP,tpl_front_usb_c_high_label,Section,TEMPLATE VARS,OUTPUT PORTS
322,JE-2000E,JP,tpl_front_usb_c_high_label,Section_order,99,3
322,JE-2000E,JP,tpl_front_usb_c_high_label,Row_label_en,Front USB-C High Label,USB-C 100W Output
323,JE-2000E,JP,tpl_front_usb_c_high_spec,Section,TEMPLATE VARS,OUTPUT PORTS
323,JE-2000E,JP,tpl_front_usb_c_high_spec,Section_order,99,3
323,JE-2000E,JP,tpl_front_usb_c_high_spec,Row_label_en,Front USB-C High Spec,USB-C 100W Output
324,JE-2000E,JP,tpl_front_usb_a_label,Section,TEMPLATE VARS,OUTPUT PORTS
324,JE-2000E,JP,tpl_front_usb_a_label,Section_order,99,3
324,JE-2000E,JP,tpl_front_usb_a_label,Row_label_en,Front USB-A Label,USB-A 18W Output
325,JE-2000E,JP,tpl_front_usb_a_spec,Section,TEMPLATE VARS,OUTPUT PORTS
325,JE-2000E,JP,tpl_front_usb_a_spec,Section_order,99,3
